"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2005 January","National - all residential properties","Base Jan 2005 = 100","100"
"Residential Property Price Index","2005 January","National - houses","Base Jan 2005 = 100","100"
"Residential Property Price Index","2005 January","National - apartments","Base Jan 2005 = 100","100"
"Residential Property Price Index","2005 January","Dublin - all residential properties","Base Jan 2005 = 100","100"
"Residential Property Price Index","2005 January","Dublin - houses","Base Jan 2005 = 100","100"
"Residential Property Price Index","2005 January","Dublin - apartments","Base Jan 2005 = 100","100"
"Residential Property Price Index","2005 January","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","National excluding Dublin - all residential properties","Base Jan 2005 = 100","100"
"Residential Property Price Index","2005 January","National excluding Dublin - houses","Base Jan 2005 = 100","100"
"Residential Property Price Index","2005 January","National excluding Dublin - apartments","Base Jan 2005 = 100","100"
"Residential Property Price Index","2005 January","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 January","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 February","National - all residential properties","Base Jan 2005 = 100","100.8"
"Residential Property Price Index","2005 February","National - houses","Base Jan 2005 = 100","100.9"
"Residential Property Price Index","2005 February","National - apartments","Base Jan 2005 = 100","100.2"
"Residential Property Price Index","2005 February","Dublin - all residential properties","Base Jan 2005 = 100","102.1"
"Residential Property Price Index","2005 February","Dublin - houses","Base Jan 2005 = 100","101.7"
