1970,13887
1971,15380
1972,21572
1973,24660
1974,26256
1975,26892
1976,24000
1977,24548
1978,25444
1979,26544
1980,27785
1981,28917
1982,26798
1983,26138
1984,24944
1985,23948
1986,22680
1987,18450
1988,15654
1989,18068
1990,19539
1991,19652
1992,22464
1993,21391
1994,26863
1995,30575
1996,33725
1997,38842
1998,42349
1999,46512
2000,49812
2001,52602
2002,57695
2003,68819
2004,76954
2005,85957
2006,88419
2007,78027
2008,51724
2009,26420
2010,14602
2011,10480
2012,8488
2013,8301
2014,11016
2015,12666
