Island of Ireland precipitation (IIP) National series (averaged monthly precipitation of the 25 station series),,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,113.5,86.4,38.6,138.3,59.7,54.5,103.4,76.3,70.5,62.7,113.1,104
1851,195,55.2,79.9,54.7,45,101.5,90.3,96.6,49.4,113.4,45.4,68.8
1852,161.4,92.4,44.6,44.4,70.2,179.4,68.6,110.1,57.3,88.7,223.2,208.2
1853,144.7,43,83.5,75.3,33.2,77.5,100.5,82.9,60.2,185.1,106,48.4
1854,138.6,36,37.3,18.8,100,110.4,102.6,60.5,47.8,77.8,74.6,94.9
1855,16.5,59.1,86,36.7,79.8,68.2,84.1,105,50.7,103.2,49.2,87.4
1856,111.6,82,35.9,76.2,124.1,59.6,44.7,87.7,91.7,82.4,39.3,115.3
1857,97.2,56.7,98.3,118.7,53.8,81.7,59.4,66.4,90.6,80.4,95.7,64.4
1858,61.4,69.7,51.7,143.5,86.4,43,83,69.5,85.3,83.2,68.6,141.1
1859,89.8,51,90.1,106.9,16.3,36.5,63.1,90.3,132.4,76.9,120,115.9
1860,164.6,52.1,86.2,56.4,101.4,154.4,68.3,152.2,52.3,76.7,90.9,88.4
1861,88.9,90.3,120.5,36,18.2,99.4,164.4,165,174.7,99.2,114.5,78.5
1862,158.9,41.5,104.2,100,100.5,91.4,100.2,76.7,63.8,152.4,87.8,126.7
1863,104,47.3,100.7,55.5,59.5,83.9,26.7,124.9,114.5,172.7,124,94.7
1864,79.9,51.2,88.2,45.8,52.6,80,39.7,54.8,96.8,97.4,156.6,81.8
1865,120.4,92.1,78.6,36.2,111.1,26,85.2,126.5,29.6,144.7,161.3,127.2
1866,146.9,84.6,100.3,68.4,46.5,89.2,47.7,112,129.2,69.2,89.2,118.4
1867,104.6,89.6,83.3,97.1,106.9,33.8,99.6,85.8,71.9,144.9,32.5,62.7
1868,132.1,80.2,104.7,69.1,69.7,35,40.8,130.1,91.5,92.1,109.3,192.8
1869,149.5,101.3,76.2,73.3,95.5,28.1,62.4,42.6,159.3,41.8,103,142.2
1870,106.6,79,60,41,74.5,31.6,41.5,60.4,81.8,207.1,69.3,76.1
1871,125.9,93.7,69.3,106.2,26.3,81.6,148.2,74.8,83.3,111,80,76.1
1872,152.9,117.6,89.5,69.3,56.7,110.5,88.2,115.7,124.6,140,145.2,194.7
1873,160,43.9,91.7,38.8,57.6,50,134,151.7,94.5,112.7,75.2,35.4
1874,81.2,80.6,54.1,62,38.9,43,82,120.5,107.6,137.9,118.7,122.4
1875,166.6,53.1,40.6,35.4,67.9,94.8,79,81.6,149.1,173.1,118.5,66.1
1876,56,134.4,111.2,81.4,20.1,51.8,51.9,103.3,125.7,134.8,131.2,205
1877,170.9,74.2,86.2,118.2,76.3,83.4,82.8,141.5,79.3,136.3,162.4,118.4
1878,94.8,62.4,46.3,75.4,122,133.9,40.5,114.8,92.7,107.7,66.1,67.4
1879,101.7,120.4,55.1,70.5,71,155,119.9,122.6,121.6,47.4,28.6,56.5
1880,47.7,107.4,91.9,100.7,37.4,88.5,146.3,52,84.8,85.8,133.4,99.2
1881,36.5,118.1,103.5,45.2,66.8,128.1,69.6,130.3,74.4,103.8,146.7,125.4
1882,80.2,94.5,84.2,117.6,77.3,97.3,138.7,90.8,91.8,115.7,148.3,116.2
1883,167.2,174.4,49.1,66.7,62.3,59.8,108,109.7,134.1,99.4,127,57
1884,145,156.7,117.9,45.2,71.9,26.3,94.4,49.6,72.2,73.1,97.3,116.6
1885,98.2,127,75.9,90.2,72.4,30.3,56.9,84,144,115.2,74.4,46.7
1886,112.6,82.6,100.7,62.8,111.8,44,103.1,75.6,109.2,150.9,91.3,146.1
1887,102.2,47.4,45.3,49.8,38.8,14.9,71.6,84.4,85.5,69.9,94.4,84.8
1888,89.7,25.7,98.3,55.9,76.7,121.9,139.8,88.4,33.2,65,129.3,142
1889,90.3,81.1,50.5,74.6,102.7,28,63.7,160.4,55.1,135.2,57.5,109.1
1890,143.3,45.7,97.9,45.9,75.9,88.2,73.1,84.7,85.3,65,171.8,70.3
1891,58.7,10.1,48.5,61.4,87.7,74.2,53.6,161.3,82.9,141.8,103.1,158.8
1892,70.9,81,27.9,32.6,112.3,70.7,90.1,164.6,101.3,89.7,134.3,74.8
1893,88.3,102.2,23.6,29.8,50,53.2,74.2,113.7,58.2,81.4,65.3,116.7
1894,131.9,94.9,62.2,107.6,72.3,62.8,114.1,88.7,16.3,123.3,116.4,97.2
1895,103.4,29.8,99.5,57.7,18.3,59.2,124.4,139,28.5,104.3,141.8,155
1896,48.8,56.5,119.7,35.5,11.2,70.7,148.5,59.9,159.2,101,34.8,165.6
1897,73.1,72.5,147.3,112,47.8,119.6,60.6,149.4,77.3,90.1,127.6,139.9
1898,78.5,79.1,34.1,109.8,89.4,77.7,31.9,132.8,88.4,123.5,122.7,95.1
1899,133.4,100.1,52.7,98.6,87.8,60.3,77,67.9,82.4,57.9,92.9,184.8
1900,112.6,107.5,25.7,66.8,79.4,117.7,75.4,134.8,46.5,133.2,163.8,141.5
1901,108.7,42.9,80.6,81.1,49.1,75.6,33.3,98.6,133.6,107.6,96.4,118.5
1902,70.9,83.5,67.2,73.1,69.5,74,80.7,76.2,86.8,69.9,144.8,96.4
1903,161.1,97.8,168.6,49.1,70.7,68.1,129.9,150.5,106,156,73.2,104.2
1904,120.1,133.1,77.1,60.5,65.3,54.8,99.8,114.2,96.1,64.9,75.2,83.1
1905,75.3,54.1,135.1,77.9,37.3,55.5,49.2,157.4,52.7,47.7,113.9,75.8
1906,135.2,84.4,67.6,52.4,99,49,64.8,87.1,34.5,131.7,72.5,90
1907,47,63.6,75.6,75.9,104.7,111.4,69.7,95.8,40,140.7,92.7,130.3
1908,84.4,67.2,106.3,67,74.4,51,81.3,97.7,151.4,60.5,73.7,116.4
1909,72.8,53.1,91.9,128,52,53.6,75.7,40.4,63.1,158.4,49.7,120.8
1910,101.1,145.4,67.5,67.6,65,108.8,88.8,155,28.7,69.9,114.7,115.7
1911,46.7,81.8,56.6,67.2,56.2,55.1,80.3,65.2,73.4,110.6,130.9,195.3
1912,114.2,105.3,122.6,34.5,38.5,144.5,117.3,133.5,25.2,84.2,75.4,128.7
1913,173,53.2,106.6,104.9,114.2,71.8,24.3,37.1,107.1,124.3,120.4,80.7
1914,59.6,149.9,125.5,45.8,52.1,31.5,85.4,125.8,62.7,56.3,117.7,211
1915,102.7,140.3,31.1,55.7,47.3,48.9,134.2,83.2,49.4,118.4,89.2,170.3
1916,75.5,122.5,58.6,94.8,113.8,66.3,59.6,84.5,55.2,206.2,162.9,93.6
1917,62.1,48.4,83.2,48.5,87.6,60.3,67.9,195.7,56.7,139.6,99.3,71.2
1918,102,124.1,53,38.9,64.3,45.5,100.4,76.3,174,120.7,97.4,145.2
1919,116.6,64.3,80.7,48.8,78.7,66.3,34.3,82,73.6,38,73.2,160.9
1920,144.3,66.9,102,102.6,103.5,53.7,125.4,70.3,66.5,130.4,105.1,104.1
