Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1831,1,1,NA,NA,NA,NA
1831,1,2,NA,NA,NA,NA
1831,1,3,NA,NA,NA,NA
1831,1,4,NA,NA,NA,NA
1831,1,5,NA,NA,NA,NA
1831,1,6,NA,NA,NA,NA
1831,1,7,NA,NA,NA,NA
1831,1,8,NA,NA,NA,NA
1831,1,9,NA,NA,NA,NA
1831,1,10,NA,NA,NA,NA
1831,1,11,NA,NA,NA,NA
1831,1,12,NA,NA,NA,NA
1831,1,13,NA,NA,NA,NA
1831,1,14,NA,NA,NA,NA
1831,1,15,NA,NA,NA,NA
1831,1,16,NA,NA,NA,NA
1831,1,17,NA,NA,NA,NA
1831,1,18,47.8,42.5,8.8,5.8
1831,1,19,48.5,42,9.2,5.6
1831,1,20,NA,44,NA,6.7
1831,1,21,50,45.5,10,7.5
1831,1,22,NA,42.5,NA,5.8
1831,1,23,46,NA,7.8,NA
1831,1,24,40,32,4.4,0
1831,1,25,37,28,2.8,-2.2
1831,1,26,40,28.5,4.4,-1.9
1831,1,27,42.5,30,5.8,-1.1
1831,1,28,38,33,3.3,0.6
1831,1,29,NA,31,NA,-0.6
1831,1,30,38.5,NA,3.6,NA
1831,1,31,37,28.5,2.8,-1.9
1831,2,1,31,29,-0.6,-1.7
1831,2,2,35,29,1.7,-1.7
1831,2,3,35,26.5,1.7,-3.1
1831,2,4,37,28.5,2.8,-1.9
1831,2,5,NA,19,NA,-7.2
1831,2,6,31,22,-0.6,-5.6
1831,2,7,50.5,31,10.3,-0.6
1831,2,8,53.5,46,11.9,7.8
1831,2,9,54.5,51,12.5,10.6
1831,2,10,58.5,NA,14.7,NA
1831,2,11,54,49.5,12.2,9.7
1831,2,12,NA,38,NA,3.3
1831,2,13,52.5,NA,11.4,NA
1831,2,14,55,45,12.8,7.2
1831,2,15,52.5,43.5,11.4,6.4
1831,2,16,49.5,41.5,9.7,5.3
1831,2,17,50,36.5,10,2.5
1831,2,18,50,39,10,3.9
1831,2,19,NA,41.5,NA,5.3
1831,2,20,50,NA,10,NA
1831,2,21,45,34.5,7.2,1.4
1831,2,22,49.5,41,9.7,5
1831,2,23,48,35,8.9,1.7
1831,2,24,49.8,NA,9.9,NA
1831,2,25,48.5,37.5,9.2,3.1
1831,2,26,NA,40.5,NA,4.7
1831,2,27,47.3,NA,8.5,NA
1831,2,28,44,34.5,6.7,1.4
1831,3,1,51,33.5,10.6,0.8
1831,3,2,53.5,43.5,11.9,6.4
1831,3,3,52.5,44,11.4,6.7
1831,3,4,53.3,47.5,11.8,8.6
1831,3,5,NA,50,NA,10
1831,3,6,55.3,NA,12.9,NA
1831,3,7,50.8,38,10.4,3.3
1831,3,8,50.5,49.5,10.3,9.7
1831,3,9,51,40,10.6,4.4
1831,3,10,53.5,42,11.9,5.6
1831,3,11,50.3,47.5,10.2,8.6
1831,3,12,NA,39.5,NA,4.2
1831,3,13,53.5,NA,11.9,NA
1831,3,14,47.5,36,8.6,2.2
