,Average Maximum Temperature,Average Minimum Temperature,Mean Temperature,Highest Temperature,Lowest Temperature
1958M01,9.7,4.5,7.1,13.4,-7.2
1958M02,10.6,5.3,8,14.4,-1.8
1958M03,9.8,4.7,7.3,14.4,-2.7
1958M04,12.1,6.2,9.2,21.1,0.2
1958M05,13.8,7.5,10.7,21.7,2.2
1958M06,15.8,10.4,13.1,18.9,7.6
1958M07,17.5,11.7,14.6,21.4,6.7
1958M08,17.7,12.6,15.2,21.6,7.8
1958M09,17.9,12.1,15,21.7,5.1
1958M10,14,9.7,11.9,16.7,5.1
1958M11,12.4,7.5,10,15,1.4
1958M12,9.7,4,6.9,12.8,-2.1
1959M01,8.9,3.1,6,12.2,-3.8
1959M02,11,6.3,8.7,13.3,-2.8
1959M03,11.5,5.7,8.6,14.2,1.7
1959M04,12.1,6.5,9.3,14.3,1.4
1959M05,16.3,8.2,12.3,24.1,2.1
1959M06,17.4,10.8,14.1,24.9,5.5
1959M07,18.4,12.2,15.3,26.1,6.3
1959M08,19.2,12.4,15.8,22.4,7.3
1959M09,19.9,10.4,15.2,26.7,6.6
1959M10,16.5,10.7,13.6,23.5,5.1
1959M11,11.6,6.1,8.9,16.6,0.6
1959M12,10.4,5.3,7.9,13,0.1
1960M01,9.6,3.8,6.7,12.9,-2.3
1960M02,9,2.5,5.8,16.8,-3.7
1960M03,11.9,6.1,9,16.3,1.7
1960M04,13.3,5.9,9.6,18.4,2.3
1960M05,16.2,9,12.6,20.5,2.2
1960M06,18,11.5,14.8,23.9,7.8
1960M07,16.8,11.9,14.4,19.2,8.4
1960M08,17.9,11.7,14.8,21.1,7.2
1960M09,16.5,10.1,13.3,19,4.4
1960M10,14,6.8,10.4,17.7,1
1960M11,11.2,5.8,8.5,14.3,-0.1
1960M12,9.2,4.4,6.8,12.3,-0.9
1961M01,9.6,4.3,7,12.4,-1.2
1961M02,11,7.3,9.2,13.3,4.5
1961M03,12,7.3,9.7,15.4,2.3
1961M04,13.7,7.5,10.6,17.1,3
1961M05,15.6,7.3,11.5,20.5,2.9
1961M06,15.7,10.5,13.1,19.1,5.8
1961M07,17.1,11.7,14.4,20.2,6.2
1961M08,17.4,11.5,14.5,22.5,6.3
1961M09,17,10.7,13.9,20.2,4.8
1961M10,14,8.5,11.3,18.9,3
1961M11,10.7,6.1,8.4,13.9,0.2
1961M12,8.8,4,6.4,13.8,-5.3
1962M01,9.8,4.5,7.2,11.9,-5.1
1962M02,9.3,4.8,7.1,12.3,-0.1
1962M03,9.4,2,5.7,13.8,-5.1
1962M04,12.5,6,9.3,19.4,2.3
1962M05,14,8,11,18.5,4.2
1962M06,16.6,8.9,12.8,21.6,2.8
1962M07,17.6,11.3,14.5,20.9,7.2
1962M08,17.1,11.4,14.3,23.2,7.3
1962M09,16,9.8,12.9,18.8,3.3
1962M10,14.9,8.1,11.5,18.7,2.8
1962M11,10.6,4.8,7.7,13.9,-0.1
1962M12,9.2,4.7,7,12.3,-3.8
1963M01,5.1,0.1,2.6,9.6,-3.9
1963M02,7.2,1.5,4.4,11,-4.4
1963M03,11.1,5.5,8.3,13.6,0
1963M04,11.6,6,8.8,15,0.7
1963M05,13.1,7.8,10.5,19,4.5
1963M06,17.3,10.9,14.1,24.9,7.8
1963M07,17.3,11.5,14.4,21.3,5.4
1963M08,16.3,11.4,13.9,19.1,8.2
1963M09,15.8,10.5,13.2,20.2,4.9
1963M10,14.7,9.6,12.2,16.5,4
1963M11,11.7,6.4,9.1,14.3,0.7
1963M12,8.7,3.6,6.2,12.2,-3.9
1964M01,10,5.4,7.7,12.1,-2.8
1964M02,9.8,5.1,7.5,12.9,-0.4
1964M03,10.8,5.3,8.1,14.4,-0.9
1964M04,12,6.3,9.2,15.4,0.6
1964M05,15.6,9.5,12.6,23.2,3.8
1964M06,15.6,10.4,13,18.6,4.1
1964M07,17.2,12,14.6,20.2,6.2
1964M08,17.8,11.9,14.9,21.7,4.6
1964M09,17.3,11.3,14.3,21.6,6
1964M10,14,9,11.5,19.9,3.3
1964M11,12.5,7.4,10,14.8,0.3
1964M12,9.7,4.4,7.1,13.6,-2.2
1965M01,8.4,2.9,5.7,12.3,-3.3
1965M02,7.9,1.5,4.7,10.9,-4.7
1965M03,11.4,5.4,8.4,20.3,-4.8
1965M04,12,6.9,9.5,14.3,2.7
1965M05,14.5,8.8,11.7,21.1,3.1
1965M06,16.3,10.2,13.3,23.2,4.2
1965M07,17.6,11.5,14.6,20.7,6.2
1965M08,17.4,11.8,14.6,21,7
1965M09,14.9,9.4,12.2,17.4,4.9
1965M10,15.7,9.8,12.8,20.1,4.7
1965M11,10.3,4.8,7.6,14,-2.3
1965M12,10,4.8,7.4,13.1,-2.4
1966M01,8.6,4.4,6.5,12.3,-4.5
