,Average Maximum Temperature,Average Minimum Temperature,Mean Temperature,Highest Temperature,Lowest Temperature
1958M01,7.5,1.9,4.7,12.4,-7
1958M02,8.2,2.8,5.5,13.5,-3.1
1958M03,7.1,1.8,4.5,15.2,-5
1958M04,11.2,4.6,7.9,17.1,-1.2
1958M05,13.7,6.5,10.1,20.6,2.4
1958M06,16.2,9.7,13,20.8,5.6
1958M07,18,11.3,14.7,25.1,6.1
1958M08,18,11.7,14.9,21.6,6.7
1958M09,17.4,11.3,14.4,19.3,5.6
1958M10,13.7,7.9,10.8,17.1,3.6
1958M11,10.6,5.7,8.2,14.8,1
1958M12,7.9,2.9,5.4,12.2,-3
1959M01,5.8,0.4,3.1,11.3,-4.6
1959M02,9.4,3.6,6.5,13.8,-1.6
1959M03,10.1,4.8,7.5,15.4,1.9
1959M04,12.2,5.1,8.7,14.9,0.4
1959M05,15.1,8,11.6,20,0.7
1959M06,18.1,10,14.1,22.4,6.7
1959M07,19.8,12.2,16,24.3,7.9
1959M08,20,12.2,16.1,25,7.2
1959M09,18.3,10.4,14.4,23.5,5.5
1959M10,15,8.7,11.9,20.3,1.1
1959M11,10.2,4.7,7.5,14.7,-0.8
1959M12,8.8,3.6,6.2,13,0.6
1960M01,7.8,2.6,5.2,12.8,-1.4
1960M02,7.1,1.1,4.1,14.6,-4.9
1960M03,8.7,4.7,6.7,11.9,0.6
1960M04,12.6,5.4,9,15.1,0.6
1960M05,15.7,8.6,12.2,20.8,4.8
1960M06,18.9,10.8,14.9,24.9,6.1
1960M07,18.3,11.2,14.8,21.4,8.2
1960M08,17.9,10.5,14.2,21.5,6.1
1960M09,16,9,12.5,22.1,5.1
1960M10,13.1,7.3,10.2,16.7,1.2
1960M11,9.9,4.8,7.4,14,-0.6
1960M12,6.9,1.5,4.2,12.1,-2.8
1961M01,7.2,2,4.6,12.4,-2.2
1961M02,10.6,5.1,7.9,14.2,-0.3
1961M03,12.4,5.4,8.9,17.8,0.5
1961M04,12.5,6.3,9.4,16.1,1.6
1961M05,14.4,7.3,10.9,19.7,2.8
1961M06,17.4,9.7,13.6,22.1,4.7
1961M07,17.5,10.8,14.2,20,6.8
1961M08,18.3,10.7,14.5,22.1,7.3
1961M09,17.4,10.1,13.8,21.3,5.6
1961M10,13.1,6.5,9.8,16.7,2.1
1961M11,9.4,4.6,7,14.8,-0.2
1961M12,7,1.4,4.2,13.8,-10.1
1962M01,7.9,2.3,5.1,12.1,-7.2
1962M02,8.2,2.8,5.5,11.4,-1.6
1962M03,6.8,0.5,3.7,13.3,-6.3
1962M04,10.9,4.2,7.6,16.2,0.8
1962M05,13.9,6.3,10.1,18.2,2.2
1962M06,16.7,8.6,12.7,21.3,1.5
1962M07,16.9,10.8,13.9,21.4,4.8
1962M08,17.3,10.3,13.8,19.9,6.9
1962M09,15.3,8.7,12,18.9,3.4
1962M10,13.8,7.5,10.7,16.8,0.7
1962M11,9,4.2,6.6,12.7,-1.6
1962M12,7.3,2.4,4.9,12.8,-3.3
1963M01,2.8,-1.1,0.9,7.1,-6.7
1963M02,4.2,-0.2,2,6.8,-4.6
1963M03,9.8,3.6,6.7,13.3,-1.2
1963M04,11.2,4.9,8.1,16.4,-1.6
1963M05,13.4,6.3,9.9,17.3,2.3
1963M06,16.8,9.9,13.4,21.7,6.6
1963M07,17.5,10.6,14.1,22.9,6.2
1963M08,17.2,10.5,13.9,20.9,6.2
1963M09,15.9,8.5,12.2,21.1,4
1963M10,14.2,8,11.1,17.2,3.1
1963M11,10.5,4.9,7.7,13.1,-0.3
1963M12,7.2,2.9,5.1,12,-4.6
1964M01,8.3,4,6.2,11.4,0
1964M02,7.7,3.1,5.4,13.4,-3.4
1964M03,7.8,3.2,5.5,11.6,-0.4
1964M04,11.6,5.1,8.4,14.6,-0.3
1964M05,15.6,8.3,12,18.6,4.7
1964M06,16.3,9.7,13,22.1,4.4
1964M07,18.6,11.8,15.2,21.7,5.6
1964M08,18,11.1,14.6,22.8,4.9
1964M09,17,10.4,13.7,21.1,4.3
1964M10,12.3,6.5,9.4,16.8,-0.4
1964M11,10.8,5.1,8,14.4,-1.7
1964M12,7.6,2.2,4.9,13.1,-2.8
1965M01,6.6,1.4,4,12.3,-3.5
1965M02,6.7,1.9,4.3,10.2,-1.3
1965M03,9.2,2.9,6.1,21.3,-6.7
1965M04,11.8,5,8.4,15.3,1.7
1965M05,14.4,7.6,11,19.2,1.4
1965M06,17.3,10.1,13.7,20.2,4.2
1965M07,16.5,10,13.3,19.4,5.2
1965M08,17.9,10.9,14.4,21.3,6.9
1965M09,15.2,8.8,12,20.6,4.7
1965M10,14,8.6,11.3,17.3,3
1965M11,8,2.8,5.4,15,-2.5
1965M12,7.7,2.2,5,13.5,-4.9
1966M01,6.6,3.4,5,12.4,-1.8
1966M02,8.4,4.3,6.4,13.1,0.7
1966M03,10.7,4,7.4,13.8,-2.1
1966M04,9.6,4.5,7.1,17.2,-0.5
1966M05,14.9,7,11,22.3,3
1966M06,17.8,11,14.4,23.1,8.3
1966M07,18.4,10.6,14.5,23.5,6.5
1966M08,17.8,10.8,14.3,22.4,6.1
1966M09,17.6,10.9,14.3,21.5,5.1
1966M10,12.5,6.3,9.4,16.7,0.6
1966M11,8.3,3,5.7,12.2,-1.8
1966M12,9,2.9,6,12.4,-1.5
1967M01,7.7,3.1,5.4,12.8,-2.9
1967M02,8.2,3.5,5.9,12.5,-0.7
1967M03,10,3.8,6.9,15.8,-0.9
1967M04,12.3,5.3,8.8,20.2,0.7
1967M05,12,6,9,18,-0.2
1967M06,18,10,14,22.7,5.2
1967M07,19.1,11.9,15.5,21.9,8.5
1967M08,17.9,11,14.5,20.7,5.6
1967M09,16.4,9.9,13.2,18.7,5.6
1967M10,12.9,6.9,9.9,17.5,1.1
1967M11,9.3,3.1,6.2,13.4,-1.7
1967M12,7.8,3.1,5.5,14,-4.5
1968M01,8.2,3.4,5.8,13.6,-1.4
1968M02,5.9,0.7,3.3,8.2,-3.9
1968M03,9.9,3.1,6.5,13.8,-0.9
1968M04,11,3.8,7.4,15.5,-3.7
1968M05,13,5.8,9.4,19.6,1.6
1968M06,17.7,10,13.9,22.5,5.6
1968M07,17.7,10.9,14.3,22.5,8.1
1968M08,18.7,11.5,15.1,23.9,6.7
1968M09,16.5,10.5,13.5,21,7.5
1968M10,15.2,10.2,12.7,19,5.4
1968M11,10.2,6.3,8.3,14.6,-1.1
1968M12,7.5,3.3,5.4,12.5,-1.9
1969M01,8.1,3.5,5.8,13.3,-6.1
1969M02,4.5,-0.2,2.2,8.6,-6.2
1969M03,6.7,2.4,4.6,11.6,-1.2
1969M04,11.5,4,7.8,17.6,-0.4
1969M05,13.6,7.3,10.5,18.5,2.2
1969M06,16.8,9.4,13.1,20.4,4.7
1969M07,19.9,12.2,16.1,25.2,7.1
1969M08,18.8,12.1,15.5,23.1,6.9
1969M09,16.5,9.9,13.2,20.5,2.6
1969M10,16.2,10.3,13.3,20.2,2.3
1969M11,8.3,2.2,5.3,17,-2
1969M12,7.5,2.4,5,12.6,-3.7
