"Statistic Label","Item","Quarter","UNIT","VALUE"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1975Q1","Euro Million","284"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1975Q2","Euro Million","310.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1975Q3","Euro Million","335.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1975Q4","Euro Million","363.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1976Q1","Euro Million","393.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1976Q2","Euro Million","423.3"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1976Q3","Euro Million","455.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1976Q4","Euro Million","479.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1977Q1","Euro Million","512.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1977Q2","Euro Million","543.3"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1977Q3","Euro Million","582.2"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1977Q4","Euro Million","630.9"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1978Q1","Euro Million","662.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1978Q2","Euro Million","699.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1978Q3","Euro Million","740"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1978Q4","Euro Million","803.2"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1979Q1","Euro Million","900.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1979Q2","Euro Million","982.9"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1979Q3","Euro Million","1053.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1979Q4","Euro Million","1129.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1980Q1","Euro Million","1190.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1980Q2","Euro Million","1262.2"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1980Q3","Euro Million","1357.2"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1980Q4","Euro Million","1470.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1981Q1","Euro Million","1542.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1981Q2","Euro Million","1615.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1981Q3","Euro Million","1693.3"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1981Q4","Euro Million","1790.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1982Q1","Euro Million","1872.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1982Q2","Euro Million","1962.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1982Q3","Euro Million","2062.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1982Q4","Euro Million","2172.9"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1983Q1","Euro Million","2266.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1983Q2","Euro Million","2367.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1983Q3","Euro Million","2475.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1983Q4","Euro Million","2578.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1984Q1","Euro Million","2670"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1984Q2","Euro Million","2763"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1984Q3","Euro Million","2873.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1984Q4","Euro Million","3016.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1985Q1","Euro Million","3108.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1985Q2","Euro Million","3233.3"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1985Q3","Euro Million","3341.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1985Q4","Euro Million","3440.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1986Q1","Euro Million","3463.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1986Q2","Euro Million","3571.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1986Q3","Euro Million","3658.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1986Q4","Euro Million","3755.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1987Q1","Euro Million","3811.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1987Q2","Euro Million","3900.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1987Q3","Euro Million","3999.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1987Q4","Euro Million","4121.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1988Q1","Euro Million","4177.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1988Q2","Euro Million","4235.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1988Q3","Euro Million","4294.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1988Q4","Euro Million","4449.2"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1989Q1","Euro Million","4511.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1989Q2","Euro Million","4612.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1989Q3","Euro Million","4694.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1989Q4","Euro Million","4837.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1990Q1","Euro Million","4846.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1990Q2","Euro Million","4909.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1990Q3","Euro Million","5154.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1990Q4","Euro Million","5457.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1991Q1","Euro Million","5651"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1991Q2","Euro Million","5826.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1991Q3","Euro Million","6022.9"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1991Q4","Euro Million","6295.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1992Q1","Euro Million","6541.2"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1992Q2","Euro Million","6920.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1992Q3","Euro Million","7052"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1992Q4","Euro Million","7250.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1993Q1","Euro Million","7385.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1993Q2","Euro Million","7572.3"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1993Q3","Euro Million","7768"
