"State","Month","Statistic Label","UNIT","VALUE"
"State","1974M01","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","127.7"
"State","1974M01","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M02","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","121.4"
"State","1974M02","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M03","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","125.5"
"State","1974M03","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M04","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","121.1"
"State","1974M04","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M05","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","119.9"
"State","1974M05","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M06","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","111.1"
"State","1974M06","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M07","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","100.1"
"State","1974M07","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M08","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","98.3"
"State","1974M08","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M09","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","91.1"
"State","1974M09","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M10","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","75.5"
"State","1974M10","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
"State","1974M11","Price Index of Ordinary Stocks and Shares (January 1974 to April 1989)","Base 1975=100","75.3"
"State","1974M11","Exchange Rate - Index Effective Trade Weighted Exchange Rate Index (January 1979 to December 1998)","Base 1971=100",""
