Statistic Label,Quarter,Area,UNIT,VALUE
New House Prices,1975Q1,National,Euro,11887
New House Prices,1975Q1,Dublin,Euro,11858
New House Prices,1975Q1,Cork,Euro,10667
New House Prices,1975Q1,Galway,Euro,13519
New House Prices,1975Q1,Limerick,Euro,12565
New House Prices,1975Q1,Waterford,Euro,11090
New House Prices,1975Q1,Other areas,Euro,11428
New House Prices,1975Q2,National,Euro,12837
New House Prices,1975Q2,Dublin,Euro,12804
New House Prices,1975Q2,Cork,Euro,12131
New House Prices,1975Q2,Galway,Euro,14306
New House Prices,1975Q2,Limerick,Euro,12714
New House Prices,1975Q2,Waterford,Euro,12366
New House Prices,1975Q2,Other areas,Euro,12956
New House Prices,1975Q3,National,Euro,13269
New House Prices,1975Q3,Dublin,Euro,13153
New House Prices,1975Q3,Cork,Euro,12567
New House Prices,1975Q3,Galway,Euro,14248
New House Prices,1975Q3,Limerick,Euro,13643
New House Prices,1975Q3,Waterford,Euro,12526
New House Prices,1975Q3,Other areas,Euro,13521
New House Prices,1975Q4,National,Euro,13892
New House Prices,1975Q4,Dublin,Euro,13835
New House Prices,1975Q4,Cork,Euro,14194
New House Prices,1975Q4,Galway,Euro,15176
New House Prices,1975Q4,Limerick,Euro,13337
New House Prices,1975Q4,Waterford,Euro,13516
New House Prices,1975Q4,Other areas,Euro,13812
New House Prices,1976Q1,National,Euro,14738
New House Prices,1976Q1,Dublin,Euro,14770
New House Prices,1976Q1,Cork,Euro,13829
New House Prices,1976Q1,Galway,Euro,17086
New House Prices,1976Q1,Limerick,Euro,14776
New House Prices,1976Q1,Waterford,Euro,14066
New House Prices,1976Q1,Other areas,Euro,14650
New House Prices,1976Q2,National,Euro,15250
New House Prices,1976Q2,Dublin,Euro,15116
New House Prices,1976Q2,Cork,Euro,16185
New House Prices,1976Q2,Galway,Euro,17892
New House Prices,1976Q2,Limerick,Euro,15279
New House Prices,1976Q2,Waterford,Euro,12413
New House Prices,1976Q2,Other areas,Euro,15069
New House Prices,1976Q3,National,Euro,15549
New House Prices,1976Q3,Dublin,Euro,15603
New House Prices,1976Q3,Cork,Euro,14725
New House Prices,1976Q3,Galway,Euro,17370
New House Prices,1976Q3,Limerick,Euro,15048
New House Prices,1976Q3,Waterford,Euro,13441
New House Prices,1976Q3,Other areas,Euro,15592
New House Prices,1976Q4,National,Euro,17130
New House Prices,1976Q4,Dublin,Euro,17770
New House Prices,1976Q4,Cork,Euro,16535
New House Prices,1976Q4,Galway,Euro,19305
New House Prices,1976Q4,Limerick,Euro,16385
New House Prices,1976Q4,Waterford,Euro,14898
New House Prices,1976Q4,Other areas,Euro,16425
New House Prices,1977Q1,National,Euro,17149
New House Prices,1977Q1,Dublin,Euro,17247
New House Prices,1977Q1,Cork,Euro,16650
New House Prices,1977Q1,Galway,Euro,20337
New House Prices,1977Q1,Limerick,Euro,18642
New House Prices,1977Q1,Waterford,Euro,16062
New House Prices,1977Q1,Other areas,Euro,16734
New House Prices,1977Q2,National,Euro,18165
New House Prices,1977Q2,Dublin,Euro,18317
New House Prices,1977Q2,Cork,Euro,17991
New House Prices,1977Q2,Galway,Euro,20627
New House Prices,1977Q2,Limerick,Euro,20662
New House Prices,1977Q2,Waterford,Euro,16213
New House Prices,1977Q2,Other areas,Euro,17614
New House Prices,1977Q3,National,Euro,19436
New House Prices,1977Q3,Dublin,Euro,19934
New House Prices,1977Q3,Cork,Euro,19619
New House Prices,1977Q3,Galway,Euro,21702
New House Prices,1977Q3,Limerick,Euro,20708
New House Prices,1977Q3,Waterford,Euro,17847
New House Prices,1977Q3,Other areas,Euro,18411
New House Prices,1977Q4,National,Euro,20042
New House Prices,1977Q4,Dublin,Euro,20469
New House Prices,1977Q4,Cork,Euro,20405
New House Prices,1977Q4,Galway,Euro,24089
New House Prices,1977Q4,Limerick,Euro,19909
New House Prices,1977Q4,Waterford,Euro,18906
New House Prices,1977Q4,Other areas,Euro,19046
New House Prices,1978Q1,National,Euro,22388
New House Prices,1978Q1,Dublin,Euro,23356
