1970,13887,,,,,,2011Q1,All house types,Number,1875,6994,,,Seasonally Adjusted New Dwelling Completions,2011Q1,All house types,Number,2204,7154
1971,15380,,,,,,2011Q2,All house types,Number,1791,,,,Seasonally Adjusted New Dwelling Completions,2011Q2,All house types,Number,1900,
1972,21572,,,,,,2011Q3,All house types,Number,1687,,,,Seasonally Adjusted New Dwelling Completions,2011Q3,All house types,Number,1681,
1973,24660,,,,,,2011Q4,All house types,Number,1641,,,,Seasonally Adjusted New Dwelling Completions,2011Q4,All house types,Number,1369,
1974,26256,,,,,,2012Q1,All house types,Number,1131,4911,,,Seasonally Adjusted New Dwelling Completions,2012Q1,All house types,Number,1335,4935
1975,26892,,,,,,2012Q2,All house types,Number,1117,,,,Seasonally Adjusted New Dwelling Completions,2012Q2,All house types,Number,1181,
1976,24000,,,,,,2012Q3,All house types,Number,1205,,,,Seasonally Adjusted New Dwelling Completions,2012Q3,All house types,Number,1197,
1977,24548,,,,,,2012Q4,All house types,Number,1458,,,,Seasonally Adjusted New Dwelling Completions,2012Q4,All house types,Number,1222,
1978,25444,,,,,,2013Q1,All house types,Number,889,4575,,,Seasonally Adjusted New Dwelling Completions,2013Q1,All house types,Number,1065,4540
1979,26544,,,,,,2013Q2,All house types,Number,1146,,,,Seasonally Adjusted New Dwelling Completions,2013Q2,All house types,Number,1178,
1980,27785,,,,,,2013Q3,All house types,Number,1033,,,,Seasonally Adjusted New Dwelling Completions,2013Q3,All house types,Number,1024,
1981,28917,,,,,,2013Q4,All house types,Number,1507,,,,Seasonally Adjusted New Dwelling Completions,2013Q4,All house types,Number,1273,
1982,26798,,,,,,2014Q1,All house types,Number,1094,5518,,,Seasonally Adjusted New Dwelling Completions,2014Q1,All house types,Number,1260,5498
1983,26138,,,,,,2014Q2,All house types,Number,1318,,,,Seasonally Adjusted New Dwelling Completions,2014Q2,All house types,Number,1396,
1984,24944,,,,,,2014Q3,All house types,Number,1404,,,,Seasonally Adjusted New Dwelling Completions,2014Q3,All house types,Number,1390,
1985,23948,,,,,,2014Q4,All house types,Number,1702,,,,Seasonally Adjusted New Dwelling Completions,2014Q4,All house types,Number,1452,
1986,22680,,,,,,2015Q1,All house types,Number,1371,7219,,,Seasonally Adjusted New Dwelling Completions,2015Q1,All house types,Number,1595,7163
1987,18450,,,,,,2015Q2,All house types,Number,1570,,,,Seasonally Adjusted New Dwelling Completions,2015Q2,All house types,Number,1640,
1988,15654,,,,,,2015Q3,All house types,Number,2033,,,,Seasonally Adjusted New Dwelling Completions,2015Q3,All house types,Number,2007,
1989,18068,,,,,,2015Q4,All house types,Number,2245,,,,Seasonally Adjusted New Dwelling Completions,2015Q4,All house types,Number,1921,
1990,19539,,,,,,2016Q1,All house types,Number,1954,9791,,,Seasonally Adjusted New Dwelling Completions,2016Q1,All house types,Number,2338,9739
1991,19652,,,,,,2016Q2,All house types,Number,2382,,,,Seasonally Adjusted New Dwelling Completions,2016Q2,All house types,Number,2403,
